"Antwort ID";"Wie alt sind Sie?";"Wie häufig nutzen Sie 3D-Inhalte oder 3D-Anwendungen? (z. B. 3D-Videospiele, 3D-Animationen in Filmen/Serien)  ";"Wie groß ist Ihre Bildschirmgröße, auf der Sie die Studie durchführen?  ";"Wie hoch ist ihre Downloadgeschwindigkeit, mit der sie die Szenarien ansehen? ";"Hat der Computer/Laptop, mit dem sie die Studie durchführen, eine zusätzliche Grafikkarte (dedizierte Grafikkarte)?  ";"Bitte schauen Sie sich jetzt das erste Szenario an, und beantworte danach die folgenden Fragen Sie können jederzeit sich das Szenario nochmal ansehen, um die Fragen besser zu beantworten.   ";"Die Entfernung zwischen dem Menschen im grauen Bereich und der Säule im blauen Bereich würde ich wie folgt einschätzen.  []";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Wie weit entfernt ist die Säule im grünen Bereich von Ihrer aktuellen Position (aus Ihrer Sicht/POV)?  []";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Wie weit erscheint ihnen der Abstand der Kiste im grauen Bereich?  []";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Direkt nach dem Neustart (Reset) des Szenarios: Welches Objekt ist näher an Ihrer Startposition?";"Bitte begründen Sie ihre Auswahl ";"Direkt nach dem Neustart (Reset) des Szenarios: Welches Objekt ist näher an Ihrer Startposition? ";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Direkt nach dem Neustart (Reset) des Szenarios: Welches Objekt ist näher an Ihrer Startposition?";"Bitte begründen Sie ihre Auswahl ";"Bitte schauen Sie sich jetzt das Zweite Szenario an, und beantworte danach die folgenden Fragen Sie können jederzeit sich das Szenario nochmal ansehen, um die Fragen besser zu beantworten. Bitte bewerten Sie dieses Szenario unabhängig von den vorherigen. Jede Szene kann eine andere Tiefenwirkung haben. ";"Die Entfernung zwischen dem Menschen im grauen Bereich und der Säule im blauen Bereich würde ich wie folgt einschätzen.  []";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Wie weit entfernt ist die Säule im grünen Bereich von Ihrer aktuellen Position (aus Ihrer Sicht/POV)?  []";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Wie weit erscheint ihnen der Abstand der Kiste im grauen Bereich?  []";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Direkt nach dem Neustart (Reset) des Szenarios: Welches Objekt ist näher an Ihrer Startposition? ";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Direkt nach dem Neustart (Reset) des Szenarios: Welches Objekt ist näher an Ihrer Startposition? ";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Direkt nach dem Neustart (Reset) des Szenarios: Welches Objekt ist näher an Ihrer Startposition?";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Bitte schauen Sie sich jetzt das Dritte Szenario an, und beantworte danach die folgenden Fragen Sie können jederzeit sich das Szenario nochmal ansehen, um die Fragen besser zu beantworten. Bitte bewerten Sie dieses Szenario unabhängig von den vorherigen. Jede Szene kann eine andere Tiefenwirkung haben. ";"Die Entfernung zwischen dem Menschen im grauen Bereich und der Säule im blauen Bereich würde ich wie folgt einschätzen.  []";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Wie weit entfernt ist die Säule im grünen Bereich von Ihrer aktuellen Position (aus Ihrer Sicht/POV)?  []";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Wie weit erscheint ihnen der Abstand der Kiste im grauen Bereich?  []";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Direkt nach dem Neustart (Reset) des Szenarios: Welches Objekt ist näher an Ihrer Startposition?";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Direkt nach dem Neustart (Reset) des Szenarios: Welches Objekt ist näher an Ihrer Startposition? ";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Direkt nach dem Neustart (Reset) des Szenarios: Welches Objekt ist näher an Ihrer Startposition?";"Bitte begründen Sie ihre Auswahl der vorherigen Frage. ";"Bitte schauen Sie sich jetzt das erste Szenario an, und beantworte danach die folgenden Fragen Sie können jederzeit sich das Szenario nochmal ansehen, um die Fragen besser zu beantworten. Bitte bewerten Sie dieses Szenario unabhängig von den vorherigen. Jede Szene kann eine andere Tiefenwirkung haben. ";"Eine eindeutige und deutliche Tiefenwahrnehmung zwischen den Bereichen Grau, Grün und Blau ist klar erkennbar? []";"Beim Bewegen fallen Verzerrungen oder Verformungen der Umgebung stark auf. []";"Falls Verzerrungen oder Verformungen zu sehen wahren, können sie gerne beschreiben, was ihnen auf viel. ";"Die räumliche Tiefenwahrnehmung wirkt realistisch. []";"Haben Sie noch weitere Bemerkungen zur letzten Frage? ";"Nach dem Laden läuft die Szene flüssig und ich habe kein Ruckeln oder ein eingefrorenes Bild. (Latenzen)  []";"Bitte schauen Sie sich jetzt das erste Szenario an, und beantworte danach die folgenden Fragen Sie können jederzeit sich das Szenario nochmal ansehen, um die Fragen besser zu beantworten. Bitte bewerten Sie dieses Szenario unabhängig von den vorherigen. Jede Szene kann eine andere Tiefenwirkung haben. ";"Eine eindeutige und deutliche Tiefenwahrnehmung zwischen den Bereichen Grau, Grün und Blau ist klar erkennbar?  []";"Beim Bewegen fallen Verzerrungen oder Verformungen der Umgebung stark auf.  []";"Die räumliche Tiefenwahrnehmung wirkt realistisch.  []";"Falls Verzerrungen oder Verformungen zu sehen wahren, können sie gerne beschreiben, was ihnen auf viel. ";"Nach dem Laden läuft die Szene flüssig und ich habe kein Ruckeln oder ein eingefrorenes Bild. (Latenzen)  []";"Haben Sie noch weitere Bemerkungen zur letzten Frage? ";"Bitte schauen Sie sich jetzt das erste Szenario an, und beantworte danach die folgenden Fragen Sie können jederzeit sich das Szenario nochmal ansehen, um die Fragen besser zu beantworten. Bitte bewerten Sie dieses Szenario unabhängig von den vorherigen. Jede Szene kann eine andere Tiefenwirkung haben. ";"Eine eindeutige und deutliche Tiefenwahrnehmung zwischen den Bereichen Grau, Grün und Blau ist klar erkennbar?  []";"Beim Bewegen fallen Verzerrungen oder Verformungen der Umgebung stark auf.  []";"Die räumliche Tiefenwahrnehmung wirkt realistisch.  []";"Falls Verzerrungen oder Verformungen zu sehen wahren, können sie gerne beschreiben, was ihnen auf viel. ";"Nach dem Laden läuft die Szene flüssig und ich habe kein Ruckeln oder ein eingefrorenes Bild. (Latenzen)  []";"Haben Sie noch weitere Bemerkungen zur letzten Frage? "
"3";"23";"3";"Größer als 24"" Zoll";"250 Mbit/s oder mehr ";"Ja, eine Grafikkarte ist vorhanden.";"Ja ich hab das szenario gesehen und weiter";"10 - 15 m";"Bauchgefühl, wie oft das Sofa zwischen Mensch und Säule passt, Schätzung mit ca. 2 m Sofabreite";"5-10m";"Abschätzung der Raumbreite des Holzschlafzimmers, das passt ungefähr einmal dazwischen denke ich";"0-5m";"ca. der gleiche Abstand wie aus der ersten Frage";"Die Kiste vor dem Bett im Holzraum";"garage wirkt tiefer als Holzraum, dazu ist die Kiste nur auf halber raumtiefe während die Leiter ganz hinten ist";"Die Objekte sind gleich nah";"beide ganz nah an der grenze von blauen und grünem Bereich";"Die Objekte sind gleich nah";"beide am ca. selben rand vom ende des grauen bereichs";;"";;"";;"";;;;;;;;;"";;"";;"";;;;;;;;;"";"";;"";;"";;"";"";"";;"";;;"";"";"";;"";
"4";;;;;;;"";;"";;"";;;;;;;;;"";;"";;"";;;;;;;;;"";;"";;"";;;;;;;;;"";"";;"";;"";;"";"";"";;"";;;"";"";"";;"";
"5";"28";"4";"13-24"" Zoll";"50-100 Mbit/s";"Ja, eine Grafikkarte ist vorhanden.";"Ja ich hab das szenario gesehen und weiter";"0 - 5 m";"Größe der Person als Maßstab";"5-10m";"Ich hab das Auto als ungefähre länge genommen ";"0-5m";"Ich hab wieder die Person als ungefähre Längenangabe benutzt ";"Die Kiste vor dem Bett im Holzraum";"Nimmt man das Auto wieder als ungefähre Länge passt es mindest 3 mal in den Bereich zwischen Starposition und Leiter und bei der Kiste nur 1 1/2 mal";"Die Objekte sind gleich nah";"Größe vom Fass und Stuhl sind ähnlich groß, daher dürfte die Entfernung auch ähnlich sein ";"Die Säule im grauen Bereich";"Kaum boden zu sehen zwischen Starposition und Säule";"Ja ich hab das szenario gesehen und weiter";"10-15m";"Nimm man an das eins der Sofas im Hintergrund 2m ist dann erscheint es so als müsten mindesten 5 Sofa längen zwischen Mensch und Säule sein. ";"5-10m";"";"0-5m";"";"Das gelbe Schild im weißen Raum";"";"Die fässer auf der terasse vom Haus";"";"Die Kiste im grauen Bereich";"";"Ja ich hab das szenario gesehen und weiter";"20-25m";"";"10-15m";"";"5-10m";"";"Die Kiste vor dem Bett im Holzraum";"";"Die Haustür vom Haus";"";"Die Säule im grauen Bereich";"";"Ja ich hab das szenario gesehen und weiter";"3";"5";"";"2";"";"6";"Ja ich hab das szenario gesehen und weiter";"5";"3";"4";"";"7";"";"Ja ich hab das szenario gesehen und weiter";"5";"5";"5";"";"4";""
"6";"25";"4";"13-24"" Zoll";"16-50 Mbit/s";"Nein, ich habe keine.";;"";;"";;"";;;;;;;;;"";;"";;"";;;;;;;;;"";;"";;"";;;;;;;;;"";"";;"";;"";;"";"";"";;"";;;"";"";"";;"";
"7";"26";"2";"13-24"" Zoll";"250 Mbit/s oder mehr ";"Nein, ich habe keine.";"Ja ich hab das szenario gesehen und weiter";"15 - 20 m";"Sieht schon ziemlich weit aus, die weiteste Entfernung in dem gesamten Szenario. Aber alles wirkt relativ nah dran, daher ca 15-20m. ";"5-10m";"Der graue Kreis wirkt wie ca 2m, alles ist (fast) direkt greifbar. Daher schätze ich den grünen Bereich etwas weiter ein. ";"0-5m";"Wie vorher erwähnt schätze ich den grauen Bereich als (fast) direkt greifbar ein, also höchstens ein paar Meter. ";"Die Kiste vor dem Bett im Holzraum";"Die Kiste schein ca. mittig im grünen Bereich zu stehen, die Leiter gegen Ende des grünen Bereichs. Außerdem wirkt der gesamte Holzraum kleiner/näher dran als der weiße Raum (welcher tiefer wirkt). ";"Die Objekte sind gleich nah";"beide liegen am Anfang des blauen Bereichs, weshalb sie ca. gleich weit weg sein müssten.";"Die Säule im grauen Bereich";"Säule sieht aus als ob man sie direkt berühren könnte, Kiste sieht aus als müsste man dafür einen schritt gehen. ";"Ja ich hab das szenario gesehen und weiter";"10-15m";"Ich denke dass 10-15m ca. hinkommt, wenn man bedenkt dass der Mensch ca. 1.70m oder so ist";"5-10m";"etwas näher als der Abstand zwischen Mensch und Säule im blauen Bereich";"0-5m";"Nicht direkt anfassbar aber nur ein paar schritte (höchstens) entfernt";"Die Objekte sind gleich nah";"beides wirkt gleich weit weg und befindet sich ca in der mitte des grünen Bereichs";"Die Objekte sind gleich nah";"beides wirkt gleich weit weg (kann evtl ein bisschen täuschen dass die Ente kleiner ist), beides anfang des blauen Bereichs";" Die Säule im grauen Bereich";"Die Säule sieht ein wenig näher aus, aber wirklich nicht viel. Man hätte auch gleich sagen können aber dachte die Säule ist vielleicht einen halben Schritt näher dran. ";"Ja ich hab das szenario gesehen und weiter";"10-15m";"geschätzt anhand er größe des Menschen";"5-10m";"Die Kiste im grauen Bereich ist ca 2m weg und dann noch ein wenig dahinter";"0-5m";"Nur ein paar schritte (höchstens) entfernt";"Die Kiste vor dem Bett im Holzraum";"aber der unterschied ist nicht so groß wie im ersten Szenario, die Kiste wirkt aber ein paar Schritte näher dran. ";"Die Objekte sind gleich nah";"beide sind am anfang des blauen bereichs";"Die Säule im grauen Bereich";"wieder nur ein ganz wenig näher dran";"Ja ich hab das szenario gesehen und weiter";"6";"7";"Quasi alle ecken und kannten verziehen sich bei jeder bewegung";"4";"Einige sachen, vor allem die Leiter und andere Gegenstände im weißen Raum, wirken relativ weit weg weil sie so klein sind, obwohl sie im grünen Bereich sein sollten. ";"7";"Ja ich hab das szenario gesehen und weiter";"7";"1";"6";"";"7";"Komplett flüssig und keine Verzerrungen, aber vor allem die Leiter kommt mir noch recht klein vor (dafür dass sie mittelmäßig nah dran sein sollte). ";"Ja ich hab das szenario gesehen und weiter";"7";"1";"6";"";"7";"Vergleichbar mit Szenario 2 "
"8";"26";"4";"Größer als 24"" Zoll";"50-100 Mbit/s";"Ja, eine Grafikkarte ist vorhanden.";"Ja ich hab das szenario gesehen und weiter";"10 - 15 m";"wenn der Mann 1,8m groß ist schätze ich 5-6 Menschis als entfernung ein";"5-10m";"ca 8m ig";"0-5m";"sehr nah";"Die Kiste vor dem Bett im Holzraum";"Leiter zu klein und raum mit auto tiefer";"Die Haustür vom Haus";"Haustür ist noch imgrünen Bereich";"Die Säule im grauen Bereich";"Säule weil deutlich größer/dicker";"Ja ich hab das szenario gesehen und weiter";"10-15m";"so ca 15m";"10-15m";"näher als die andere";"0-5m";"sehr nah";"Das gelbe Schild im weißen Raum";"steht weiter vorne im raum";"Die Objekte sind gleich nah";"ungefähr beide hinter der blauen grenze";" Die Säule im grauen Bereich";"wirkt einen ticken größer";"Ja ich hab das szenario gesehen und weiter";"10-15m";"tiefer blauer bereich";"5-10m";"mittig von der entfernung";"0-5m";"sehr nah/direkt vor mir";"Die Kiste vor dem Bett im Holzraum";"leiter tiefer im raum";"Die Objekte sind gleich nah";"knapp hinter grün";"Die Säule im grauen Bereich";"säule größer";"Ja ich hab das szenario gesehen und weiter";"7";"2";"";"6";"";"7";"Ja ich hab das szenario gesehen und weiter";"7";"2";"4";"";"7";"";"Ja ich hab das szenario gesehen und weiter";"7";"2";"6";"";"7";""
"9";"25";"3";"Größer als 24"" Zoll";"50-100 Mbit/s";"Ja, eine Grafikkarte ist vorhanden.";"Ja ich hab das szenario gesehen und weiter";"20 - 25 m";"Ist weiter weg als die meisten Objekte im Vergleich";"20-25m";"hier genauso";"0-5m";"Ist im Bereich in dem ich mich gerade befinde, also am nächsten zu mir dran";"Die Kiste vor dem Bett im Holzraum";"Die Kiste wirkt näher dran, der Raum mit der Leiter wirkt weiter weg";"Die Haustür vom Haus";"wirkt näher, da man näher herangehen kann";"Die Säule im grauen Bereich";"Die Säule wirkt riesig, als würde man direkt da vor stehen";"Ja ich hab das szenario gesehen und weiter";"10-15m";"Wenn man sich nach links oder rechts bewegt wirkt der Mensch viel näher dran, da er sich mehr mitbewegt als die hintere Säule";"5-10m";"Wirkt im Vergleich zur Kiste deutlich weiter weg, aber nicht extrem weiter weg";"0-5m";"man kann ganz nah dran";"Die Objekte sind gleich nah";"Wirken ähnlich nah dran";"Die fässer auf der terasse vom Haus";"Die Ente wirkt weiter weg, man kommt nicht so nah dran";" Die Objekte sind gleich nah";"wirken gleich weit weg bei der startposition";"Ja ich hab das szenario gesehen und weiter";"0-5m";"Es wirkt, als sei der Mensch nur wenige Meter von der Säule entfernt, da sie nah beieinander wirken";"5-10m";"Wenn die Kiste nur so ein Meter von mir entfernt ist, wirkt die Säule deutlich weiter weg im Abstand";"0-5m";"Wirkt als würde ich genau daneben stehen";"Die Kiste vor dem Bett im Holzraum";"die kiste wirkt zwar jetzt etwas weiter weg als im ersten szenario, aber die leiter ebenso";"Die Objekte sind gleich nah";"Die ente wirkt größer als im vorherigen Szenario, wenn man sich bewegt fühlt es sich an als käme man ihr näher als die Tür";"Die Säule im grauen Bereich";"";"Ja ich hab das szenario gesehen und weiter";"6";"5";"Wenn ich mich von der Startposition wegbewege mit WASD scheint sich der vorhere Teil weniger zu verzerren als das, was weiter weg wirkt.";"1";"";"1";"Ja ich hab das szenario gesehen und weiter";"4";"1";"1";"";"1";"Durch weniger Schattierungen ist das etwas anstrengender einzuschätzen";"Ja ich hab das szenario gesehen und weiter";"7";"7";"3";"";"7";"Ich finde, dadurch dass weniger Schattierungen usw erkennbar sind wird das viel schwieriger die Entfernung einzuschätzen. Es wirkt eher ""kleiner und größer"" als ""weiter weg/näher dran"" "
"10";;;;;;;"";;"";;"";;;;;;;;;"";;"";;"";;;;;;;;;"";;"";;"";;;;;;;;;"";"";;"";;"";;"";"";"";;"";;;"";"";"";;"";
"11";"27";"4";"Größer als 24"" Zoll";"16-50 Mbit/s";"Ja, eine Grafikkarte ist vorhanden.";"Ja ich hab das szenario gesehen und weiter";"10 - 15 m";"Verhältnis der Größe des Menschen zu der Größe der Säule";"5-10m";"Aufgrund der Relationen zu den anderen Objekten im Bildausschnitt";"0-5m";"Größe der Kiste";"Die Kiste vor dem Bett im Holzraum";"Leiter eher außen im grünen Bereich und Kiste eher mittig";"Die Haustür vom Haus";"Haustür eher vorne im blauen Bereich und Ente eher mittig";"Die Objekte sind gleich nah";"Mittelpunkte der Objekte scheinen etwa gleich weit entfernt zu sein";"Ja ich hab das szenario gesehen und weiter";"10-15m";"Mensch passt schätzungsweise ca. 7 mal liegend zwischen seine Position und die Säule.";"5-10m";"Abhängig von der Größe der Kiste im grauen Bereich";"0-5m";"Nach ungefährer Größe der Kiste";"Das gelbe Schild im weißen Raum";"Schild eher mittig im grünen Bereich und Kerzenständer etwas weiter außen";"Die Objekte sind gleich nah";"Beides eher weiter vorne im blauen Bereich";" Die Säule im grauen Bereich";"Säule minimal näher an der Startposition, weil sie einen größeren Umfang hat. Mittelpunkte der Objekte etwa gleich weit weg";"Ja ich hab das szenario gesehen und weiter";"10-15m";"Verhältnis von Größe des Menschen zum Abstand zur Säule";"5-10m";"Verhältnis zu den Größen der anderen Objekte";"0-5m";"Verhältnis zur Größe der Kiste";"Die Kiste vor dem Bett im Holzraum";"Kiste eher mittig im grünen Bereich und Leiter eher außen";"Die Haustür vom Haus";"Haustür minimal näher am Übergang zum grünen Bereich";"Die Objekte sind gleich nah";"Beides sehr ähnlich nah an der Startposition";"Ja ich hab das szenario gesehen und weiter";"5";"1";"";"2";"Die Objekte sind zum Teil unrealistisch skaliert im Bezug auf das Verhältnis zwischen wahrgenommener Entfernung des Objekts und geschätzter/erwarteter Größe des Objekts.";"7";"Ja ich hab das szenario gesehen und weiter";"5";"4";"2";"Kanten ""flackern"" beim Bewegen der Kamera";"6";"Objekte wirken unrealistisch skaliert (wie bei Szenario 1)";"Ja ich hab das szenario gesehen und weiter";"5";"1";"2";"Szenario 3 konnte bei mir nicht geladen werden. Daher Beurteilung nur auf Basis des Videos.";"4";"Auch hier wirken die Objekte unrealistisch skaliert"
"12";"28";"1";"13-24"" Zoll";"16-50 Mbit/s";"Nein, ich habe keine.";"Ja ich hab das szenario gesehen und weiter";"20 - 25 m";"Im Vergleich mit den anderen Gegenständen, wirkt die Säule weit entfernt. ";"10-15m";"Wirkt nur ungefähr halb so weit entfernt, wie die Säule im blauen Bereich. ";"0-5m";"Die Kiste wirkt sehr nah.";"Die Kiste vor dem Bett im Holzraum";"Zwischen meiner POV und der Leiter sind mehr und größere Objekte, als zwischen meiner POV und der Kiste, deswegen ist die Leiter weiter entfernt. ";"Die Objekte sind gleich nah";"Die Objekte sind gleich weit im blauen Bereich. ";"Die Säule im grauen Bereich";"";"Ja ich hab das szenario gesehen und weiter";"15-20m";"Durch den Hintergrund, wirkt die Säule nicht so weit entfernt. ";"10-15m";"Die Säule im grünen Bereich, wirkt deutlich näher, im Gegensatz zur Säule im blauen Bereich.";"0-5m";"Die Kiste wirkt sehr nah, in Relation zu den anderen Objekten.";"Die Objekte sind gleich nah";"Beide Objekt sind ca. mittig vom grünen Bereich. ";"Die Objekte sind gleich nah";"Beide Objekte sind gleich weit im blauen Bereich.";" Die Säule im grauen Bereich";"Die untere Kante der Säule ist näher an meiner POV, als die der Kiste.";"Ja ich hab das szenario gesehen und weiter";"15-20m";"Aufgrund der Proportionen (Größe vom Menschen, Raum im grünen Bereich etc.).";"10-15m";"In Relation zur Kiste und zum Raum. ";"0-5m";"Die Kiste erscheint sehr nah an meiner POV.";"Die Kiste vor dem Bett im Holzraum";"Die Kiste befindet sich ca. mittig vom grünen Bereich. Die Leiter weiterhinten im grünen Bereich. ";"Die Haustür vom Haus";"Die Haustür im am Anfang vom blauen Bereich, die Ente hingegen weiter mittig.";"Die Säule im grauen Bereich";"";"Ja ich hab das szenario gesehen und weiter";"7";"1";"";"7";"";"7";"Ja ich hab das szenario gesehen und weiter";"5";"5";"3";"";"2";"";"Ja ich hab das szenario gesehen und weiter";"6";"2";"5";"";"6";""
